Using device: cuda
Path to dataset files: /home/airhust/.cache/kagglehub/datasets/sumanthvrao/daily-climate-time-series-data/versions/3
Train samples: 1448, Test samples: 100
Epoch 166 | train MSE 0.0613 | test MSE 0.1250
Epoch 167 | train MSE 0.0577 | test MSE 0.1139
Epoch 168 | train MSE 0.0600 | test MSE 0.1154
Epoch 169 | train MSE 0.0544 | test MSE 0.1142
Epoch 170 | train MSE 0.0582 | test MSE 0.1215
Epoch 171 | train MSE 0.0586 | test MSE 0.1110
Epoch 172 | train MSE 0.0562 | test MSE 0.1271
Epoch 173 | train MSE 0.0607 | test MSE 0.1113
Epoch 174 | train MSE 0.0581 | test MSE 0.1266
Epoch 175 | train MSE 0.0588 | test MSE 0.1106
Epoch 176 | train MSE 0.0536 | test MSE 0.1239
Epoch 177 | train MSE 0.0554 | test MSE 0.1085
Epoch 178 | train MSE 0.0591 | test MSE 0.1427
Epoch 179 | train MSE 0.0601 | test MSE 0.1110
Epoch 180 | train MSE 0.0619 | test MSE 0.1136
Epoch 181 | train MSE 0.0592 | test MSE 0.1268
Epoch 182 | train MSE 0.0604 | test MSE 0.1114
Epoch 183 | train MSE 0.0588 | test MSE 0.1147
Epoch 184 | train MSE 0.0580 | test MSE 0.1164
Epoch 185 | train MSE 0.0576 | test MSE 0.1226
Epoch 186 | train MSE 0.0606 | test MSE 0.1163
Epoch 187 | train MSE 0.0548 | test MSE 0.1191
Epoch 188 | train MSE 0.0573 | test MSE 0.1176
Epoch 189 | train MSE 0.0564 | test MSE 0.1159
Epoch 190 | train MSE 0.0547 | test MSE 0.1235
Epoch 191 | train MSE 0.0557 | test MSE 0.1156
Epoch 192 | train MSE 0.0567 | test MSE 0.1192
Epoch 193 | train MSE 0.0575 | test MSE 0.1179
Epoch 194 | train MSE 0.0587 | test MSE 0.1179
Epoch 195 | train MSE 0.0568 | test MSE 0.1164
Epoch 196 | train MSE 0.0557 | test MSE 0.1126
Epoch 197 | train MSE 0.0541 | test MSE 0.1176
Epoch 198 | train MSE 0.0559 | test MSE 0.1175
Epoch 199 | train MSE 0.0563 | test MSE 0.1356
Epoch 200 | train MSE 0.0539 | test MSE 0.1107
Epoch 201 | train MSE 0.0575 | test MSE 0.1353
Epoch 202 | train MSE 0.0549 | test MSE 0.1134
Epoch 203 | train MSE 0.0583 | test MSE 0.1328
Epoch 204 | train MSE 0.0539 | test MSE 0.1214
Epoch 205 | train MSE 0.0528 | test MSE 0.1239
Epoch 206 | train MSE 0.0548 | test MSE 0.1210
Epoch 207 | train MSE 0.0554 | test MSE 0.1175
Early stopping at epoch 207 (best epoch 177, best test MSE 0.1085)
Loaded best model from epoch 177 with test MSE 0.1085

Final metrics (original scale):
  MSE: 5.8554
  RMSE: 2.4198
  MAE: 2.0763
  R2: 0.8464
  MAPE: 9.70%
Saved predictions to results/report_outputs/predictions.csv
Saved training curve to results/report_outputs/training_curve.png
Saved plot: results/report_outputs/pred_first100.png
Saved plot: results/report_outputs/scatter.png
Saved plot: results/report_outputs/error_hist.png
Saved plot: results/report_outputs/residual_plot.png

Summary:
  Best epoch: 177
  Test MSE (orig): 5.8554, RMSE: 2.4198°C, MAE: 2.0763°C, R2: 0.8464, MAPE: 9.70%
