Using device: cuda
Path to dataset files: /home/airhust/.cache/kagglehub/datasets/sumanthvrao/daily-climate-time-series-data/versions/3
Train samples: 1448, Test samples: 100
Epoch 108 | train MSE 0.1126 | test MSE 0.2764
Epoch 109 | train MSE 0.1082 | test MSE 0.1985
Epoch 110 | train MSE 0.1099 | test MSE 0.2267
Epoch 111 | train MSE 0.1043 | test MSE 0.2039
Epoch 112 | train MSE 0.1020 | test MSE 0.2173
Epoch 113 | train MSE 0.1018 | test MSE 0.2038
Epoch 114 | train MSE 0.1009 | test MSE 0.2057
Epoch 115 | train MSE 0.1003 | test MSE 0.2210
Epoch 116 | train MSE 0.1012 | test MSE 0.1830
Epoch 117 | train MSE 0.1036 | test MSE 0.2518
Epoch 118 | train MSE 0.1040 | test MSE 0.2040
Epoch 119 | train MSE 0.1114 | test MSE 0.2489
Epoch 120 | train MSE 0.1132 | test MSE 0.2039
Epoch 121 | train MSE 0.1086 | test MSE 0.2913
Epoch 122 | train MSE 0.1053 | test MSE 0.2012
Epoch 123 | train MSE 0.1056 | test MSE 0.2246
Epoch 124 | train MSE 0.0978 | test MSE 0.2520
Epoch 125 | train MSE 0.0969 | test MSE 0.1961
Epoch 126 | train MSE 0.0984 | test MSE 0.2391
Epoch 127 | train MSE 0.0983 | test MSE 0.2367
Epoch 128 | train MSE 0.0982 | test MSE 0.2187
Epoch 129 | train MSE 0.0974 | test MSE 0.2350
Epoch 130 | train MSE 0.0958 | test MSE 0.2209
Epoch 131 | train MSE 0.0960 | test MSE 0.2539
Epoch 132 | train MSE 0.0970 | test MSE 0.2246
Epoch 133 | train MSE 0.0947 | test MSE 0.2400
Epoch 134 | train MSE 0.0966 | test MSE 0.2189
Epoch 135 | train MSE 0.0929 | test MSE 0.2117
Epoch 136 | train MSE 0.0926 | test MSE 0.2138
Epoch 137 | train MSE 0.0931 | test MSE 0.2295
Epoch 138 | train MSE 0.0926 | test MSE 0.2153
Epoch 139 | train MSE 0.0930 | test MSE 0.2188
Epoch 140 | train MSE 0.0886 | test MSE 0.2278
Epoch 141 | train MSE 0.0886 | test MSE 0.2034
Epoch 142 | train MSE 0.0893 | test MSE 0.2563
Epoch 143 | train MSE 0.0879 | test MSE 0.2134
Epoch 144 | train MSE 0.0922 | test MSE 0.2449
Epoch 145 | train MSE 0.0883 | test MSE 0.2351
Epoch 146 | train MSE 0.0879 | test MSE 0.2177
Epoch 147 | train MSE 0.0875 | test MSE 0.2578
Epoch 148 | train MSE 0.0886 | test MSE 0.2111
Epoch 149 | train MSE 0.0870 | test MSE 0.2739
Epoch 150 | train MSE 0.0867 | test MSE 0.2101
Epoch 151 | train MSE 0.0873 | test MSE 0.2526
Epoch 152 | train MSE 0.0872 | test MSE 0.2316
Epoch 153 | train MSE 0.0833 | test MSE 0.2277
Epoch 154 | train MSE 0.0834 | test MSE 0.2475
Epoch 155 | train MSE 0.0844 | test MSE 0.2086
Epoch 156 | train MSE 0.0892 | test MSE 0.2456
Epoch 157 | train MSE 0.0942 | test MSE 0.2064
Epoch 158 | train MSE 0.0882 | test MSE 0.2628
Epoch 159 | train MSE 0.0879 | test MSE 0.2284
Epoch 160 | train MSE 0.0838 | test MSE 0.2242
Epoch 161 | train MSE 0.0885 | test MSE 0.2170
Epoch 162 | train MSE 0.0878 | test MSE 0.2621
Epoch 163 | train MSE 0.0866 | test MSE 0.2077
Epoch 164 | train MSE 0.0869 | test MSE 0.2781
Epoch 165 | train MSE 0.0852 | test MSE 0.2161
Epoch 166 | train MSE 0.0832 | test MSE 0.2307
Epoch 167 | train MSE 0.0812 | test MSE 0.2303
Epoch 168 | train MSE 0.0836 | test MSE 0.2270
Epoch 169 | train MSE 0.0789 | test MSE 0.2277
Epoch 170 | train MSE 0.0796 | test MSE 0.2393
Epoch 171 | train MSE 0.0801 | test MSE 0.2212
Epoch 172 | train MSE 0.0773 | test MSE 0.2315
Epoch 173 | train MSE 0.0783 | test MSE 0.2540
Epoch 174 | train MSE 0.0793 | test MSE 0.2089
Epoch 175 | train MSE 0.0772 | test MSE 0.2249
Epoch 176 | train MSE 0.0764 | test MSE 0.2242
Epoch 177 | train MSE 0.0755 | test MSE 0.2375
Epoch 178 | train MSE 0.0758 | test MSE 0.2309
Epoch 179 | train MSE 0.0748 | test MSE 0.2467
Epoch 180 | train MSE 0.0749 | test MSE 0.2516
Epoch 181 | train MSE 0.0757 | test MSE 0.2225
Epoch 182 | train MSE 0.0748 | test MSE 0.2605
Epoch 183 | train MSE 0.0731 | test MSE 0.2152
Epoch 184 | train MSE 0.0762 | test MSE 0.2461
Epoch 185 | train MSE 0.0795 | test MSE 0.2148
Epoch 186 | train MSE 0.0752 | test MSE 0.2518
Epoch 187 | train MSE 0.0746 | test MSE 0.2428
Epoch 188 | train MSE 0.0732 | test MSE 0.2409
Epoch 189 | train MSE 0.0750 | test MSE 0.2302
Epoch 190 | train MSE 0.0701 | test MSE 0.2559
Epoch 191 | train MSE 0.0721 | test MSE 0.2354
Epoch 192 | train MSE 0.0696 | test MSE 0.2385
Epoch 193 | train MSE 0.0686 | test MSE 0.2895
Epoch 194 | train MSE 0.0690 | test MSE 0.2228
Epoch 195 | train MSE 0.0696 | test MSE 0.2877
Epoch 196 | train MSE 0.0695 | test MSE 0.2393
Epoch 197 | train MSE 0.0676 | test MSE 0.2443
Epoch 198 | train MSE 0.0683 | test MSE 0.2658
Epoch 199 | train MSE 0.0674 | test MSE 0.2413
Epoch 200 | train MSE 0.0676 | test MSE 0.2566
Epoch 201 | train MSE 0.0678 | test MSE 0.2703
Epoch 202 | train MSE 0.0665 | test MSE 0.2323
Epoch 203 | train MSE 0.0673 | test MSE 0.2748
Epoch 204 | train MSE 0.0639 | test MSE 0.2500
Epoch 205 | train MSE 0.0676 | test MSE 0.2365
Epoch 206 | train MSE 0.0653 | test MSE 0.2896
Epoch 207 | train MSE 0.0649 | test MSE 0.2285
Epoch 208 | train MSE 0.0638 | test MSE 0.2768
Epoch 209 | train MSE 0.0624 | test MSE 0.2449
Epoch 210 | train MSE 0.0672 | test MSE 0.2728
Epoch 211 | train MSE 0.0653 | test MSE 0.2433
Epoch 212 | train MSE 0.0664 | test MSE 0.2899
Epoch 213 | train MSE 0.0708 | test MSE 0.2360
Epoch 214 | train MSE 0.0695 | test MSE 0.3000
Epoch 215 | train MSE 0.0658 | test MSE 0.2379
Epoch 216 | train MSE 0.0640 | test MSE 0.2914
